iter	RMSE
0	0.4276761166
1	0.4216479442
2	0.4196020291
3	0.4179891047
4	0.4172481442
5	0.4162832682
6	0.415144925
7	0.4149084105
8	0.4146243768
9	0.4139858912
10	0.4130611141
11	0.4127511178
12	0.4124674149
13	0.4121350987
14	0.4117702893
15	0.411226635
16	0.4109719971
17	0.410641266
18	0.4103172705
19	0.4100051573
20	0.4096011613
21	0.4093778623
22	0.4090798052
23	0.4087271305
24	0.4085708127
25	0.4081505577
26	0.4079612072
27	0.4076691791
28	0.4072241626
29	0.4069128995
30	0.4066241455
31	0.4064803737
32	0.406199096
33	0.4060472843
34	0.4059847384
35	0.4058590633
36	0.4056735916
37	0.4054385599
38	0.4052158141
39	0.4049992303
40	0.4048422172
41	0.4045433534
42	0.4043452333
43	0.4041210761
44	0.4038852073
45	0.4037285595
46	0.4035002835
47	0.4034480198
48	0.4032371469
49	0.4030642363
50	0.40284697
51	0.4027987565
52	0.4027494662
53	0.4025817469
54	0.4024833445
55	0.4023556829
56	0.4021675845
57	0.4020033008
58	0.4018623509
59	0.4016353153
60	0.401449906
61	0.4013118645
62	0.401255925
63	0.4011426074
64	0.401089436
65	0.4010357531
66	0.4007588733
67	0.4005758378
68	0.4004664607
69	0.4003232817
70	0.400158059
71	0.3999624464
72	0.3998343843
73	0.3997035988
74	0.399647159
75	0.3993677337
76	0.3991108453
77	0.3988909306
78	0.3986891149
79	0.3984749594
80	0.3983748899
81	0.3982540757
82	0.3980539511
83	0.3979909622
84	0.3978766792
85	0.3977011464
86	0.3975037028
87	0.3974737112
88	0.3972815038
89	0.3971753559
90	0.3970046663
91	0.3968665592
92	0.3966945126
93	0.3966285989
94	0.3965392623
95	0.3964471058
96	0.3964111039
97	0.3963722809
98	0.396235135
99	0.3961480436
100	0.396071057
101	0.395925811
102	0.3957596666
103	0.3956589618
104	0.3955830174
105	0.3953909871
106	0.3953001954
107	0.3951888875
108	0.3950017751
109	0.3949401663
110	0.3948524579
111	0.3947690809
112	0.3945963673
113	0.3944411922
114	0.3943483917
115	0.3941538587
116	0.394079137
117	0.3940215947
118	0.3938494549
119	0.393818267
120	0.3937235865
121	0.3936797279
122	0.3935951745
123	0.3934372111
124	0.3932969622
125	0.393273429
126	0.3932209223
127	0.3931466676
128	0.3930720061
129	0.3929516339
130	0.3927702565
131	0.3926390163
132	0.3924965261
133	0.3924560635
134	0.3923111106
135	0.3921707345
136	0.3920389538
137	0.3919736441
138	0.391901849
139	0.3917356104
140	0.3916516986
141	0.3915541171
142	0.391463336
143	0.3912689646
144	0.3912292767
145	0.3911430983
146	0.3911124556
147	0.3909756697
148	0.3908857305
149	0.3908184105
150	0.3907607913
151	0.3906739521
152	0.3905862339
153	0.390516533
154	0.3904515031
155	0.3903367049
156	0.3901913025
157	0.390134228
158	0.3899921815
159	0.389956908
160	0.3899059327
161	0.3898124271
162	0.3897501818
163	0.3896254327
164	0.3894976806
165	0.3894401518
166	0.3893655734
167	0.3892944054
168	0.3892413201
169	0.3891482645
170	0.3890216268
171	0.3889715322
172	0.3889156642
173	0.3888793917
174	0.388794257
175	0.3887319242
176	0.3886018853
177	0.3884840797
178	0.3883475417
179	0.388278907
180	0.3882475381
181	0.3881526927
182	0.3880348895
183	0.3879599734
184	0.3878200961
185	0.387781216
186	0.3876303841
187	0.387577408
188	0.3874756629
189	0.3874373736
190	0.3873923574
191	0.387322761
192	0.3873010716
193	0.3872713462
194	0.3871925302
195	0.3871398354
196	0.3870736895
197	0.3870287099
198	0.3869614065
199	0.3868140753
200	0.3867460922
201	0.3866836578
