iter	Passed	Remaining
0	21	130195
1	44	133645
2	74	148530
3	90	136286
4	120	144761
5	151	151620
6	178	152717
7	190	142943
8	203	135368
9	231	138544
10	291	158980
11	324	161839
12	373	171785
13	403	172454
14	450	179930
15	470	176134
16	507	178559
17	522	173767
18	539	169936
19	571	170743
20	587	167373
21	616	167654
22	645	167657
23	667	166235
24	681	162990
25	699	160775
26	742	164173
27	760	162161
28	789	162546
29	818	162970
30	834	160631
31	848	158331
32	865	156572
33	929	163064
34	961	163872
35	976	161765
36	1004	161871
37	1020	160051
38	1035	158307
39	1063	158429
40	1086	157935
41	1130	160393
42	1157	160397
43	1189	161041
44	1220	161461
45	1235	159906
46	1253	158828
47	1281	158882
48	1297	157615
49	1344	160034
50	1358	158521
51	1373	157157
52	1388	155798
53	1404	154681
54	1419	153414
55	1456	154600
56	1483	154649
57	1546	158410
58	1575	158690
59	1605	158972
60	1621	157828
61	1636	156716
62	1650	155560
63	1667	154616
64	1682	153613
65	1696	152558
66	1713	151743
67	1729	150876
68	1763	151603
69	1779	150731
70	1806	150855
71	1821	149995
72	1836	149145
73	1868	149628
74	1892	149501
75	1909	148852
76	1930	148517
77	1944	147600
78	1970	147682
79	1996	147767
80	2053	150040
81	2066	149147
82	2081	148423
83	2099	147874
84	2116	147259
85	2131	146579
86	2161	146907
87	2175	146169
88	2191	145567
89	2211	145211
90	2243	145708
91	2271	145851
92	2286	145243
93	2301	144623
94	2348	145973
95	2365	145459
96	2379	144776
97	2410	145146
98	2430	144861
99	2461	145236
100	2504	146284
101	2521	145782
102	2540	145460
103	2585	146584
104	2631	147755
105	2664	148177
106	2698	148602
107	2722	148548
108	2770	149734
109	2786	149196
110	2814	149336
111	2830	148778
112	2866	149360
113	2912	150364
114	2928	149864
115	2945	149394
116	2982	149958
117	2998	149487
118	3041	150310
119	3064	150159
120	3090	150181
121	3106	149672
122	3131	149615
123	3148	149212
124	3166	148823
125	3180	148260
126	3199	147960
127	3218	147654
128	3233	147148
129	3250	146770
130	3280	146961
131	3296	146538
132	3326	146736
133	3343	146359
134	3360	145981
135	3389	146133
136	3414	146134
137	3437	146003
138	3450	145503
139	3466	145085
140	3481	144665
141	3497	144288
142	3512	143869
143	3528	143504
144	3546	143200
145	3561	142813
146	3579	142514
147	3612	142837
148	3635	142745
149	3654	142539
150	3701	143382
151	3718	143076
152	3736	142792
153	3762	142815
154	3799	143262
155	3847	144116
156	3871	144095
157	3900	144236
158	3915	143842
159	3942	143915
160	3964	143772
161	3998	144081
162	4024	144134
163	4061	144523
164	4081	144334
165	4118	144737
166	4167	145568
167	4195	145638
168	4226	145818
169	4276	146668
170	4338	147882
171	4399	149068
172	4428	149171
173	4473	149795
174	4505	149965
175	4534	150040
176	4559	150005
177	4576	149675
178	4597	149493
179	4610	149088
180	4638	149113
181	4653	148773
182	4684	148911
183	4708	148835
184	4751	149361
185	4796	149929
186	4812	149588
187	4838	149588
188	4859	149424
189	4873	149039
190	4887	148643
191	4901	148276
192	4916	147934
193	4932	147611
194	4968	147894
195	4984	147599
196	4998	147247
197	5015	146973
198	5046	147109
199	5063	146830
200	5093	146938
201	5129	147219
